Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
2011-10-31 23:24:03,43.0813,38.6902,7.0,0.51,Md,2.4,Van Gölü - [09.46 km] Tuşba (Van),144211
2011-11-06 07:05:17,43.4177,38.8337,7.0,0.64,Md,2.4,Tuşba (Van),145514
2011-11-02 00:39:01,43.2165,38.6448,7.0,0.69,Md,2.4,Tuşba (Van),144457
2011-11-02 00:36:06,43.2033,38.6138,7.0,0.57,Md,2.4,Tuşba (Van),144456
2011-11-03 07:20:53,43.2017,38.6242,7.0,0.49,Ml,2.4,Tuşba (Van),144785
2011-11-01 20:08:02,43.0658,38.634,7.0,0.56,Ml,2.4,Van Gölü - [11.71 km] Tuşba (Van),144400
2011-11-06 11:55:42,43.1302,38.761,7.0,0.33,Md,2.4,Van Gölü - [07.41 km] Tuşba (Van),145558
2011-11-03 13:37:02,43.2185,38.6288,7.01,0.17,Md,2.4,Tuşba (Van),144829
2011-11-06 12:32:07,43.4473,38.8282,7.0,0.38,Md,2.4,Tuşba (Van),145569
2011-11-08 08:51:40,43.2197,38.664,6.99,0.34,Md,2.4,Tuşba (Van),145984
2011-11-08 00:00:36,43.5428,38.9717,7.34,0.3,Md,2.4,Van Gölü - [02.75 km] Erciş (Van),145937
2011-10-31 01:49:43,43.4122,38.7525,7.0,0.62,Ml,2.4,Tuşba (Van),144006
2011-11-06 09:34:22,43.4305,38.8517,7.0,0.59,Md,2.3,Tuşba (Van),145535
2011-11-04 08:59:02,43.3678,38.776,7.0,0.54,Ml,2.3,Tuşba (Van),145025
2011-11-03 07:26:54,39.0958,38.6525,6.95,0.56,Ml,2.3,Merkez (Elazığ),144787
2011-10-30 22:52:00,43.5755,38.4623,7.0,0.74,Ml,2.3,İpekyolu (Van),143966
2011-11-05 22:30:12,43.2758,38.7632,7.0,0.34,Ml,2.3,Tuşba (Van),145440
2011-10-31 01:44:23,43.2723,38.5988,7.0,0.82,Ml,2.3,Tuşba (Van),144005
2011-11-05 23:50:58,43.2865,38.7265,7.0,0.03,Ml,2.3,Tuşba (Van),145450
2011-10-30 20:49:37,43.1695,38.5825,7.0,0.51,Ml,2.3,Van Gölü - [04.60 km] Tuşba (Van),143939
2011-11-06 00:33:48,43.4455,38.7208,7.0,0.7,Ml,2.3,Tuşba (Van),145457
2011-11-01 21:50:42,43.4655,38.8883,7.0,0.35,Ml,2.3,Van Gölü - [04.73 km] Tuşba (Van),144423
2011-11-01 20:32:42,43.3388,38.8365,7.0,0.53,Ml,2.3,Tuşba (Van),144405
2011-11-06 01:42:31,43.4298,38.9693,7.0,0.42,Ml,2.3,Van Gölü - [04.60 km] Erciş (Van),145465
2011-10-30 17:16:21,43.4805,38.9035,7.0,0.8,Ml,2.3,Van Gölü - [05.11 km] Tuşba (Van),143881
2011-11-08 11:46:12,43.5483,38.8153,6.99,0.59,Md,2.3,Tuşba (Van),145998
2011-11-05 16:09:51,43.472,38.8867,7.0,0.84,Ml,2.3,Van Gölü - [04.17 km] Tuşba (Van),145365
2011-11-05 16:55:23,43.205,38.6605,7.0,0.23,Ml,2.3,Tuşba (Van),145373
2011-11-05 17:03:56,43.4238,38.9877,7.0,0.43,Ml,2.3,Van Gölü - [02.52 km] Erciş (Van),145374
2011-11-04 07:19:44,43.4098,38.8253,7.0,0.68,Md,2.3,Tuşba (Van),145010
2011-11-05 17:32:16,43.6325,38.8083,7.0,0.33,Ml,2.3,Muradiye (Van),145381
2011-11-09 04:48:07,42.9742,38.4633,7.0,0.29,Md,2.3,Van Gölü - [09.63 km] Gevaş (Van),146186
2011-11-05 17:44:59,43.5677,38.8655,6.87,0.19,Ml,2.3,Tuşba (Van),145384
2011-11-05 17:54:47,43.1548,38.6047,7.0,0.36,Ml,2.3,Van Gölü - [05.54 km] Tuşba (Van),145385
2011-11-10 06:35:57,43.0285,38.7104,10.63,0.05689,Ml,2.3,Van Gölü - [14.42 km] Tuşba (Van),146434
2011-11-05 18:25:40,43.5223,38.9252,9.59,0.24,Ml,2.3,Van Gölü - [02.80 km] Tuşba (Van),145392
2011-11-05 18:42:24,43.6392,38.8635,7.0,0.36,Ml,2.3,Tuşba (Van),145396
